oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-233,233,세미오름,제주시,제주특별자치도 제주시 아라동 산24-2,574.3,412000.0,원형,corroborated,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-234,234,세미오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산27-1,421.0,261938.0,말굽형(남서형),corroborated,resolved_offline_osm_peak,C,33.4740199,126.6694243,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-235,235,소록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 87-24,441.9,386069.0,말굽형(북동향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.4004686,126.7228427,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-236,236,소병악,서귀포시,제주특별자치도 서귀포시 안덕면 상창리 산2-1,473.0,178836.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3083508,126.3743066,0,U,,,screen_complete_existing_v6,high_stable,cloud_haze_shadow,no,U,abstain
JJ-OREUM-237,237,소산오름,제주시,제주특별자치도 제주시 아라일동 산31,412.8,30782.0,원추형,corroborated,resolved_offline_osm_peak,C,33.4460664,126.5536297,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-238,238,소소름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 220,162.4,91501.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3441784,126.7553653,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-239,239,소수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 887,53.0,34119.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.4367639,126.9122167,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-240,240,소왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 2160,103.0,35071.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.4643179,126.876818,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-241,241,손자봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산52,255.8,279921.0,복합형,corroborated,resolved_offline_osm_peak,C,33.4552435,126.8194138,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-242,242,송아오름,제주시,제주특별자치도 제주시 한경면 조수리 134,104.0,30701.0,말굽형(남향),corroborated,resolved_offline_osm_peak,C,33.3276528,126.2360167,5,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-243,243,송악산,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 산2,104.0,585982.0,복합형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.1990813,126.2897901,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-244,244,쇠머리오름,제주시,제주특별자치도 제주시 우도면 연평리 산19-1,132.5,457393.0,복합형,corroborated,unresolved,U,,,2,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-245,245,수악,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산10,474.3,273067.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3246214,126.6094508,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-246,246,수월봉,제주시,제주특별자치도 제주시 한경면 고산리 3763,78.0,249820.0,원추형,corroborated,resolved_offline_osm_peak,C,33.2945665,126.1632411,9,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-247,247,쉼터동산,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,1102.8,69083.0,원추형,corroborated,unresolved,U,,,7,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-248,248,시오름,서귀포시,제주특별자치도 서귀포시 서홍동 산1,757.8,276280.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3062205,126.5168893,1,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-249,249,식산봉,서귀포시,제주특별자치도 서귀포시 성산읍 오조리 313,60.2,53199.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.4656984,126.9198882,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-250,250,식은이오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 1450,286.0,139259.0,말굽형(남서향),corroborated,unresolved,U,,,1,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-251,251,신산오름,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 334,175.0,66974.0,말굽형(북향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.2632933,126.3624158,0,C,과수,5013031022103280000,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-252,252,쌀손장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,912.5,298849.0,복합형,corroborated,unresolved,U,,,2,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-253,253,썩은다리,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 1913,42.0,18910.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-254,254,아끈다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 2593-1,198.0,164072.0,원형,corroborated,resolved_offline_osm_peak,C,33.4746453,126.8314944,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
